date,price,max,increaseShop,increasePirce
2018-05-05,40.818260869565236,198.0,0.0,0.10478260869564338
2018-05-06,40.73826086956524,198.0,0.0,-0.0799999999999983
2018-05-07,40.56913043478263,198.0,0.0,-0.16913043478260903
2018-05-08,40.42695652173915,198.0,0.0,-0.1421739130434787
2018-05-09,40.17913043478263,198.0,0.0,-0.24782608695652186
2018-05-10,40.41391304347828,198.0,0.0,0.23478260869565304
2018-05-11,40.27478260869567,198.0,0.0,-0.1391304347826079
2018-05-12,40.03304347826089,198.0,0.0,-0.24173913043478024
2018-05-13,39.76391304347828,198.0,0.0,-0.26913043478261045
2018-05-14,39.79000000000002,198.0,0.0,0.026086956521737648
2018-05-15,39.807391304347846,198.0,0.0,0.0173913043478251
2018-05-16,39.66826086956524,198.0,0.0,-0.1391304347826079
2018-05-17,39.83347826086958,198.0,0.0,0.16521739130434554
2018-05-18,39.976086956521755,198.0,0.0,0.1426086956521715
2018-05-19,40.17456896551726,198.0,1.0,0.19848200899550505
2018-05-20,40.460775862068985,198.0,0.0,0.28620689655172526
2018-05-21,40.96336206896553,198.0,0.0,0.5025862068965452
2018-05-22,41.87905982905985,198.0,1.0,0.9156977600943179
2018-05-23,42.013675213675235,198.0,0.0,0.1346153846153868
2018-05-24,41.83418803418805,198.0,0.0,-0.1794871794871824
2018-05-25,41.85982905982908,198.0,0.0,0.025641025641029103
2018-05-26,42.174786324786346,198.0,0.0,0.3149572649572647
2018-05-27,42.044017094017114,198.0,0.0,-0.13076923076923208
2018-05-28,41.83803418803421,198.0,0.0,-0.20598290598290703
2018-05-29,41.72504273504275,198.0,0.0,-0.11299145299145863
2018-05-30,41.64641025641028,198.0,0.0,-0.07863247863247125
2018-06-01,42.42760683760685,198.0,0.0,0.7811965811965749
2018-06-02,41.84470085470087,198.0,0.0,-0.5829059829059844
2018-06-03,41.80196581196583,198.0,0.0,-0.04273504273503903
2018-06-04,41.84658119658121,198.0,0.0,0.04461538461538339
2018-06-05,41.97307692307694,198.0,0.0,0.12649572649572605
2018-06-06,41.544017094017114,198.0,0.0,-0.429059829059824
2018-06-07,41.64743589743591,198.0,0.0,0.10341880341879772
2018-06-08,41.59615384615386,198.0,0.0,-0.0512820512820511
2018-06-09,41.610683760683784,198.0,0.0,0.01452991452992336
2018-06-10,41.676293103448295,198.0,-1.0,0.06560934276451036
2018-06-11,42.90726495726497,198.0,1.0,1.2309718538166763
2018-06-12,42.50854700854703,198.0,0.0,-0.39871794871793753
2018-06-13,42.85982905982907,198.0,0.0,0.35128205128203405
2018-06-14,42.71623931623933,198.0,0.0,-0.14358974358973597
2018-06-15,42.77777777777779,198.0,0.0,0.06153846153846132
2018-06-16,42.59658119658121,198.0,0.0,-0.18119658119658055
2018-06-17,42.45128205128207,198.0,0.0,-0.14529914529914123
2018-06-18,43.066666666666684,198.0,0.0,0.6153846153846132
2018-06-19,42.59487179487181,198.0,0.0,-0.4717948717948772
2018-06-20,42.85683760683762,198.0,0.0,0.2619658119658155
2018-06-21,42.86111111111113,198.0,0.0,0.004273504273506035
2018-06-22,42.82179487179489,198.0,0.0,-0.039316239316235624
2018-06-23,42.63008474576272,198.0,1.0,-0.19171012603217008
2018-06-24,42.551271186440694,198.0,0.0,-0.07881355932202894
2018-06-25,42.95805084745764,198.0,0.0,0.40677966101694807
2018-06-26,43.022083333333356,198.0,2.0,0.06403248587571397
2018-06-27,43.06291666666668,198.0,0.0,0.04083333333332462
2018-06-28,43.02958333333335,198.0,0.0,-0.03333333333333144
2018-06-29,43.42563025210086,198.0,-1.0,0.3960469187675102
2018-06-30,43.24041666666668,198.0,1.0,-0.18521358543417676
2018-07-01,41.98875000000001,198.0,0.0,-1.2516666666666723
2018-07-02,41.88875000000001,198.0,0.0,-0.10000000000000142
2018-07-03,42.04791666666668,198.0,0.0,0.15916666666667112
2018-07-04,42.04791666666668,198.0,0.0,0.0
2018-07-05,42.92226890756304,198.0,-1.0,0.8743522408963571
2018-07-06,42.21208333333335,198.0,1.0,-0.7101855742296905
2018-07-07,41.77500000000002,198.0,2.0,-0.4370833333333266
2018-07-08,41.61844262295084,198.0,0.0,-0.15655737704918238
2018-07-09,41.81721311475412,198.0,0.0,0.19877049180328044
2018-07-10,41.62357723577238,198.0,1.0,-0.19363587898173762
2018-07-11,41.437398373983754,198.0,0.0,-0.1861788617886262
2018-07-12,41.658064516129045,198.0,1.0,0.22066614214529068
2018-07-13,41.23680000000001,198.0,1.0,-0.42126451612903537
2018-07-14,41.222400000000015,198.0,0.0,-0.014399999999994861
2018-07-15,41.182400000000015,198.0,0.0,-0.03999999999999915
2018-07-16,41.39040000000002,198.0,0.0,0.2080000000000055
2018-07-17,41.976190476190496,198.0,1.0,0.5857904761904749
2018-07-18,41.51031746031748,198.0,0.0,-0.4658730158730151
2018-07-19,41.746031746031754,198.0,0.0,0.23571428571427333
2018-07-20,41.73730158730161,198.0,0.0,-0.008730158730145376
2018-07-21,42.35634920634922,198.0,0.0,0.6190476190476133
2018-07-22,41.82857142857144,198.0,0.0,-0.5277777777777786
2018-07-23,41.85714285714287,198.0,0.0,0.028571428571424917
2018-07-24,41.64285714285716,198.0,0.0,-0.2142857142857082
2018-07-25,41.531746031746046,198.0,0.0,-0.11111111111111427
2018-07-26,42.414285714285725,198.0,0.0,0.8825396825396794
2018-07-27,41.81031746031747,198.0,0.0,-0.6039682539682545
2018-07-28,42.47936507936509,198.0,0.0,0.6690476190476176
2018-07-29,41.77063492063493,198.0,0.0,-0.7087301587301553
