date,price
2018/12/9,45.89947917
2018/12/10,45.9046875
2018/12/11,45.8984375
2018/12/12,45.90364583
2018/12/13,45.72135417
2018/12/14,45.96989583
2018/12/15,45.41828125
2018/12/16,45.40786458
2018/12/17,45.42647668
2018/12/18,45.38564767
2018/12/19,45.58606218
2018/12/20,45.60316062
2018/12/21,45.60518135
2018/12/22,45.71398964
2018/12/23,45.94450262
2018/12/24,45.76391753
2018/12/25,45.55675258
2018/12/26,45.62273196
2018/12/27,46.30466667
2018/12/28,46.70564103
2018/12/29,46.70764103
2018/12/30,46.70764103
2018/12/31,46.80148718
2019/1/1,46.75994872
2019/1/2,46.77533333
2019/1/3,46.77328205
2019/1/4,46.77328205
2019/1/5,46.77430769
2019/1/6,46.7794359
2019/1/7,46.79482051
2019/1/8,46.78558974
2019/1/9,46.78046154
2019/1/10,46.74076531
2019/1/11,46.6822335
2019/1/12,47.00714286
2019/1/13,46.72182741
2019/1/14,46.82736041
2019/1/15,46.9652551
2019/1/16,46.69328283
2019/1/17,46.65287879
2019/1/18,46.63588832
2019/1/19,46.63233503
2019/1/20,46.40818182
2019/1/21,47.1186802
2019/1/22,47.38070707
2019/1/23,47.81630769
2019/1/24,47.41464286
2019/1/25,47.10598985
2019/1/26,47.1664
2019/1/27,47.03039409
2019/1/28,47.24107843
2019/2/1,47.14473171
2019/2/2,47.37112195
2019/2/3,47.8042439
2019/2/4,47.69936585
2019/2/5,49.79300971
2019/2/6,48.8325
2019/2/7,47.37293269
2019/2/8,47.82278049
2019/2/9,48.20033654
2019/2/10,48.58258373
2019/2/11,48.66397129
2019/2/12,48.94120192
2019/2/13,49.2117619
2019/2/14,49.47918269
2019/2/15,49.71439614
2019/2/16,49.37990476
2019/2/17,49.51521531
2019/2/18,49.94228571
2019/2/19,49.74492891
2019/2/20,49.74847619
2019/2/21,48.83028037
2019/2/22,49.01868545
2019/2/23,50.03635514
2019/2/24,49.46148148
2019/2/25,48.92233645
2019/2/26,48.77618605
2019/2/27,49.73483568
2019/2/28,49.04699309
2019/3/1,48.66589041
2019/3/2,48.74357466
2019/3/3,48.44986425
2019/3/4,47.76524887
2019/3/5,47.53719457
2019/3/6,48.41954751
2019/3/7,47.88470588
2019/3/8,47.92621622
2019/3/9,47.96225225
2019/3/10,48.29558559
2019/3/11,48.01571429
2019/3/12,47.93192825
2019/3/13,48.78080717
2019/3/14,48.50097778
2019/3/15,48.7779646
2019/3/16,48.56352423
2019/3/17,48.66557522
2019/3/18,48.77101322
2019/3/19,48.9692511
2019/3/20,48.88210526
2019/3/21,49.46149123
2019/3/22,49.23736842
2019/3/23,49.11462555
2019/3/24,49.23530435
2019/3/25,49.75116883
2019/3/26,49.83573913
2019/3/27,49.71560345
2019/3/28,49.15568966
2019/3/29,48.28586207
2019/3/30,48.40313043
2019/4/1,48.49965368
2019/4/2,48.47433476
2019/4/3,48.26618026
2019/4/4,48.40995708
2019/4/5,48.40309013
2019/4/6,48.53437768
2019/4/7,48.47240343
2019/4/8,48.98227468
2019/4/9,48.76668103
2019/4/10,48.99004274
2019/4/11,49.23923077
2019/4/12,48.8127897
2019/4/13,49.02299145
2019/4/14,49.13038627
2019/4/15,49.06230769
2019/4/16,48.80675214
2019/4/17,48.80931624
2019/4/18,48.79008547
2019/4/19,48.09693617
